sort_order,sku,handle,name,category,description,price_omr,cost_omr,available_for_sale,track_stock,image_url,status
1,10085,american-cheese-cake,American cheese cake,Desserts,,2.1,0.0,False,False,,active
2,10004,americano,Americano,Hot coffee,,1.0,0.35,False,False,,active
3,10051,avocado,Avocado,Fresh juices,,1.6,0.9,False,False,,active
4,10046,banana,Banana,Fresh juices,,1.2,0.5,False,False,,active
5,10063,blue-ocean,Blue ocean,Soft cocktails,,1.6,0.9,False,False,,active
6,10062,blue-sky,Blue sky,Soft cocktails,,1.3,0.7,False,False,,active
7,10080,blueberry-smoothie,Blueberry smoothie,Smoothie section,,1.6,0.9,False,False,,active
8,10089,brownies,Brownies,Desserts,,1.7,0.0,False,False,,active
9,10005,cappuccino,Cappuccino,Hot coffee,,1.1,0.45,False,False,,active
10,10012,carmel-latte,Carmel latte,Hot coffee,,1.5,0.6,False,False,,active
11,10008,carmel-macchiato,Carmel macchiato,Hot coffee,,1.2,0.6,False,False,,active
12,10088,chocolate-fudge,Chocolate Fudge,Desserts,,1.9,0.0,False,False,,active
13,10031,cold-brew,Cold Brew,Specialty coffee,,1.8,0.6,False,False,,active
14,10006,cortedo,Cortedo,Hot coffee,,1.1,0.45,False,False,,active
15,10056,dragon,Dragon,Fresh juice cocktails,,1.9,1.1,False,False,,active
16,10091,dubai-cake,Dubai cake,Desserts,,2.3,0.0,False,False,,active
17,10001,espresso,Espresso,Hot coffee,,0.6,0.28,False,False,,active
18,10002,espresso-cream,Espresso cream,Hot coffee,,1.1,0.55,False,False,,active
19,10003,espresso-nutella,Espresso Nutella,Hot coffee,,1.2,0.55,False,False,,active
20,10009,flat-white,Flat white,Hot coffee,,1.2,0.45,False,False,,active
21,10054,florida,Florida,Fresh juice cocktails,,1.7,1.0,False,False,,active
22,10058,four-seasons,Four seasons,Fresh juice cocktails,,1.7,1.0,False,False,,active
23,10032,franch-press,Franch Press,Specialty coffee,,2.5,1.0,False,False,,active
24,10073,frappe-mix-berry,Frappe mix Berry,Frappés,,2.0,1.0,False,False,,active
25,10071,frappe-raspberry,Frappe raspberry,Frappés,,1.9,1.0,False,False,,active
26,10072,frappe-strawberry,Frappe strawberry,Frappés,,1.8,0.9,False,False,,active
27,10074,frappe-watermelon,Frappe watermelon,Frappés,,1.7,0.7,False,False,,active
28,10029,frappuccino,Frappuccino,Cold Coffee,,1.8,0.95,False,False,,active
29,10048,gauva,Gauva,Fresh juices,,1.5,0.6,False,False,,active
30,10055,havana,Havana,Fresh juice cocktails,,1.7,1.0,False,False,,active
31,10059,hawaii,Hawaii,Fresh juice cocktails,,1.8,1.2,False,False,,active
32,10013,hazelnut-latte,Hazelnut latte,Hot coffee,,1.5,0.6,False,False,,active
33,10035,herbal-tea,Herbal tea,Hot Drinks,,0.6,0.2,False,False,,active
34,10042,hibiscus-ice-tea,Hibiscus ice tea,Iced tea,,1.4,0.5,False,False,,active
35,10037,hot-chocolate,Hot chocolate,Hot Drinks,,1.3,0.8,False,False,,active
36,10036,hot-cider,Hot cider,Hot Drinks,,1.2,0.7,False,False,,active
37,10028,iced-americano,Iced Americano,Cold Coffee,,1.1,0.35,False,False,,active
38,10020,iced-caramel-latte,Iced caramel latte,Cold Coffee,,1.5,0.6,False,False,,active
39,10021,iced-hazelnut-latte,Iced hazelnut latte,Cold Coffee,,1.5,0.6,False,False,,active
40,10018,iced-latte,Iced latte,Cold Coffee,,1.2,0.45,False,False,,active
41,10025,iced-mocha,Iced mocha,Cold Coffee,,1.4,0.6,False,False,,active
42,10026,iced-mocha-frappe,Iced mocha frappe,Cold Coffee,,1.8,0.7,False,False,,active
43,10022,iced-pistachio-latte,Iced pistachio latte,Cold Coffee,,1.6,0.7,False,False,,active
44,10024,iced-rose-latte,Iced Rose latte,Cold Coffee,,1.4,0.6,False,False,,active
45,10019,iced-spanish-latte,Iced Spanish latte,Cold Coffee,,1.5,0.6,False,False,,active
